Sequences producing,IS Family,Group,Origin,Score,E
ISAcp1,IS5,IS5,Acidobacterium capsulatum,42,5.6
ISAav5,IS481,,Acidovorax avenae,42,5.6
ISAisp4,IS110,,Acidovorax sp.,44,1.4
ISAisp3,IS481,,Acidovorax sp.,42,5.6
TnAs3,Tn3,,Aeromonas salmonicida,50,0.023
TnAs2,Tn3,,Aeromonas salmonicida,42,5.6
IS71,IS66,-,Agrobacterium tumefaciens,44,1.4
ISApr9,IS1380,,Alpha proteobacterium,44,1.4
ISApr2,IS1595,ISSod11,Alpha proteobacterium,44,1.4
ISApr4,IS1595,ISNwi1,Alpha proteobacterium,42,5.6
ISAnsp4,IS21,,Anaeromyxobacter sp.,56,4.00E-04
ISAnsp10,IS630,,Anaeromyxobacter sp.,44,1.4
ISAnsp12,IS66,,Anaeromyxobacter sp.,42,5.6
ISAnsp5,IS21,,Anaeromyxobacter sp.,42,5.6
ISAar30,ISL3,,Arthrobacter arilaitensis,101,7.00E-18
ISAar39,ISL3,,Arthrobacter arilaitensis,70,2.00E-08
ISAar42,ISL3,,Arthrobacter arilaitensis,68,1.00E-07
ISAar34,ISL3,,Arthrobacter arilaitensis,44,1.4
ISAau5,ISNCY,,Arthrobacter aurescens,42,5.6
ISAau2,IS21,,Arthrobacter aurescens,42,5.6
ISAcl1,IS30,,Arthrobacter chlorophenolicus,52,0.006
ISArsp6,Tn3,,Arthrobacter sp.,82,7.00E-12
ISAusp1,IS1595,ISNha5,Aurantimonas sp.,42,5.6
ISAzo40,IS1380,,Azoarcus sp.,44,1.4
ISAzo12,IS21,,Azoarcus sp.,44,1.4
ISAzo6,IS1634,,Azoarcus sp.,44,1.4
ISAzo1,IS1182,,Azoarcus sp.,42,5.6
ISAzo32,IS630,,Azoarcus sp.,42,5.6
ISAzo18,IS3,IS150,Azoarcus sp.,42,5.6
ISAzo28,IS110,,Azoarcus sp.,42,5.6
ISAzo9,IS630,,Azoarcus sp.,42,5.6
ISAzo4,IS21,,Azoarcus sp.,42,5.6
ISAzca2,IS66,,Azorhizobium caulinodans,42,5.6
ISAzba6,IS630,,Azospirillum brasilense,48,0.091
ISAli15,IS66,,Azospirillum lipoferum,50,0.023
ISAli14,ISAs1,,Azospirillum lipoferum,42,5.6
ISAli4,IS3,IS51,Azospirillum lipoferum,42,5.6
ISAzs37,IS630,,Azospirillum sp.,46,0.36
ISAzs31,IS630,,Azospirillum sp.,46,0.36
ISAzs36,IS481,,Azospirillum sp.,44,1.4
ISAzs30,IS21,,Azospirillum sp.,44,1.4
ISAzs17,Tn3,,Azospirillum sp.,44,1.4
ISAzs29,Tn3,,Azospirillum sp.,42,5.6
ISAzs24,IS3,IS51,Azospirillum sp.,42,5.6
ISBsp5,IS1182,,Bacillus sp.,46,0.36
ISBad1,IS21,,Bifidobacterium adolescentis,42,5.6
IS2001,ISL3,-,Bifidobacterium lactis,44,1.4
ISBlo4,IS30,,Bifidobacterium longum,141,8.00E-30
ISBlo1,IS21,,Bifidobacterium longum,44,1.4
ISBlo8,IS256,,Bifidobacterium longum,42,5.6
ISBlo7,IS30,,Bifidobacterium longum,42,5.6
ISBdi2,IS1380,,Bradyrhizobium diazoefficiens,42,5.6
ISRj1,IS630,-,Bradyrhizobium japonicum,58,9.00E-05
ISFK1,IS21,,Bradyrhizobium japonicum,46,0.36
ISBj3,IS3,IS150,Bradyrhizobium japonicum,42,5.6
ISBj1,IS1380,-,Bradyrhizobium japonicum,42,5.6
IS1632,IS256,-,Bradyrhizobium japonicum,42,5.6
ISBli1,ISL3,-,Brevibacterium linens,92,7.00E-15
ISBcen18,IS256,,Burkholderia cenocepacia,42,5.6
ISBcen14,IS66,,Burkholderia cenocepacia,42,5.6
ISBcen4,IS110,IS1111,Burkholderia cenocepacia,42,5.6
IS931,IS256,-,Burkholderia cepacia,42,5.6
IS406,IS256,-,Burkholderia cepacia,42,5.6
ISBxe5,IS5,,Burkholderia xenovorans,42,5.6
ISCpo1,ISNCY,ISDol1,Candidatus Poribacteria sp.,42,5.6
ISCc2,IS110,,Caulobacter crescentus,42,5.6
ISCmi3,IS30,,Clavibacter michiganensis,98,1.00E-16
ISCmi2,IS481,,Clavibacter michiganensis,44,1.4
ISCef4,IS4,IS4,Corynebacterium efficiens,42,5.6
IS1513,IS30,-,Corynebacterium striatum,46,0.36
ISCur1,IS1380,,Corynebacterium urealyticum,42,5.6
IS1088,IS30,,Cupriavidus necator,62,6.00E-06
ISDge14,IS701,,Deinococcus geothermalis,42,5.6
ISFsp14,IS1380,,Frankia sp.,58,9.00E-05
ISFsp11,IS66,ISBst12,Frankia sp.,50,0.023
ISFsp3,IS21,,Frankia sp.,50,0.023
ISFsp15,IS1380,,Frankia sp.,48,0.091
ISFsp5,IS4,IS4,Frankia sp.,46,0.36
ISFsp4,IS200/IS605,,Frankia sp.,46,0.36
ISFsp6,IS4,IS4,Frankia sp.,42,5.6
ISGau8,IS30,,Gemmatimonas aurantiaca,58,9.00E-05
ISGau4,IS3,IS407,Gemmatimonas aurantiaca,42,5.6
ISGau7,IS21,,Gemmatimonas aurantiaca,42,5.6
ISGur5,IS3,IS3,Geobacter uraniireducens,42,5.6
ISGeob4,IS5,ISL2,Geodermatophilus obscurus,42,5.6
ISGeob1,IS5,ISL2,Geodermatophilus obscurus,42,5.6
ISH27-2,ISH3,-,Halobacterium salinarum,46,0.36
ISH10B,IS66,ISBst12,Halobacterium sp,44,1.4
ISH8B,IS4,ISH8,Halobacterium sp,42,5.6
ISH3C,ISH3,,Halobacterium sp.,46,0.36
ISHth2,ISH6,,Halococcus thailandensis,44,1.4
ISHth1,ISH6,,Halococcus thailandensis,42,5.6
ISHvo3,IS5,ISH1,Haloferax volcanii,46,0.36
ISHbo2,IS200/IS605,IS1341,Halogeometricum borinquense,42,5.6
ISHwa21,IS200/IS605,IS1341,Haloquadratum walsbyi,42,5.6
ISHwa7,IS630,,Haloquadratum walsbyi,42,5.6
ISHwa4,IS701,,Haloquadratum walsbyi,42,5.6
ISHha2,IS5,,Halorhodospira halophila,42,5.6
ISHla5,ISH3,,Halorubrum lacusprofundi,44,1.4
ISHla1,ISH3,,Halorubrum lacusprofundi,44,1.4
ISKpn23,IS1380,,Klebsiella pneumoniae,42,5.6
ISKpn27,IS481,,Klebsiella pneumoniae,42,5.6
ISKpn11,IS3,IS150,Klebsiella pneumoniae,42,5.6
ISKra3,ISAzo13,,Ktedonobacter racemifer,42,5.6
ISLxc3,IS30,,Leifsonia xyli,121,8.00E-24
ISLxx5,IS30,,Leifsonia xyli,105,5.00E-19
ISLxc4,IS30,,Leifsonia xyli,64,2.00E-06
ISMaa1,IS1380,,Marine actinobacterium,42,5.6
ISCARN69,IS630,,Metagenomic data from CARNOULES,50,0.023
ISCARN114,IS30,,Metagenomic data from CARNOULES,46,0.36
ISCARN97,IS110,,Metagenomic data from CARNOULES,46,0.36
ISCARN16,IS21,,Metagenomic data from CARNOULES,46,0.36
ISCARN22,IS66,,Metagenomic data from CARNOULES,44,1.4
ISCARN110,IS91,,Metagenomic data from CARNOULES,42,5.6
ISCARN23,IS1634,,Metagenomic data from CARNOULES,42,5.6
ISCARN18,IS110,IS1111,Metagenomic data from CARNOULES,42,5.6
ISCARN15,IS66,,Metagenomic data from CARNOULES,42,5.6
ISMch6,IS110,,Methylobacterium chloromethanicum,42,5.6
ISMch7,IS701,,Methylobacterium chloromethanicum,42,5.6
ISMdi25,IS30,,Methylobacterium dichloromethanicum,88,1.00E-13
ISMdi12,IS110,IS1111,Methylobacterium dichloromethanicum,42,5.6
ISMdi18,IS1595,ISNwi1,Methylobacterium dichloromethanicum,42,5.6
ISMex18,IS630,,Methylobacterium extorquens,52,0.006
ISMex38,Tn3,,Methylobacterium extorquens,44,1.4
ISMex23,IS200/IS605,IS1341,Methylobacterium extorquens,42,5.6
ISMex10,ISL3,,Methylobacterium extorquens,42,5.6
ISMex8,IS21,,Methylobacterium extorquens,42,5.6
ISMex22,Tn3,,Methylobacterium extorquens,42,5.6
ISMno19,IS630,,Methylobacterium nodulans,50,0.023
ISMno13,IS66,,Methylobacterium nodulans,44,1.4
ISMno24,IS91,,Methylobacterium nodulans,42,5.6
ISMra5,IS5,IS427,Methylobacterium radiotolerans,48,0.091
ISMra2,IS5,IS427,Methylobacterium radiotolerans,48,0.091
ISMtsp4,IS30,,Methylobacterium sp.,50,0.023
ISMtsp7,IS110,IS1111,Methylobacterium sp.,46,0.36
ISMtsp8,IS21,,Methylobacterium sp.,42,5.6
ISMsi1,IS21,,Methylocella silvestris,44,1.4
ISMlu1,IS256,,Micrococcus luteus,44,1.4
ISMlu11,IS256,,Micrococcus luteus,42,5.6
ISMav7,IS1380,,Mycobacterium avium,100,3.00E-17
ISMav5,IS481,,Mycobacterium avium,46,0.36
ISMav2,IS481,-,Mycobacterium avium,46,0.36
ISMav8,IS1380,,Mycobacterium avium,44,1.4
ISMav9,ISNCY,ISDol1,Mycobacterium avium,42,5.6
ISMav1,IS21,-,Mycobacterium avium,42,5.6
IS1612,IS21,-,Mycobacterium avium,42,5.6
IS1081,IS256,-,Mycobacterium bovis,48,0.091
ISMyca1,IS1634,,Mycobacterium canettii,44,1.4
ISMgi2,IS1182,,Mycobacterium gilvum,44,1.4
IS1141,IS3,IS3,Mycobacterium intracellulare,42,5.6
ISMyma7,IS1380,-,Mycobacterium marinum,98,1.00E-16
ISMyma2,IS1380,,Mycobacterium marinum,66,4.00E-07
ISMrh1,IS256,,Mycobacterium rhodesiae,46,0.36
ISMsm5,IS630,,Mycobacterium smegmatis,357,7.00E-95
IS1096,ISL3,-,Mycobacterium smegmatis,101,7.00E-18
ISMsm6,IS1634,,Mycobacterium smegmatis,100,3.00E-17
ISMsm3,IS1380,,Mycobacterium smegmatis,94,2.00E-15
ISMsm4,ISL3,,Mycobacterium smegmatis,84,2.00E-12
ISMsm2,IS630,,Mycobacterium smegmatis,80,3.00E-11
ISMsm8,IS30,,Mycobacterium smegmatis,56,4.00E-04
ISMt1,IS5,IS427,Mycobacterium tuberculosis,82,7.00E-12
IS1557,ISL3,,Mycobacterium tuberculosis,76,4.00E-10
IS1553,IS256,,Mycobacterium tuberculosis,42,5.6
ISMfu2,ISKra4,ISKra4,Myxococcus fulvus,42,5.6
ISNml2,IS1380,,Nakamurella multipartita,52,0.006
ISNpe8,IS66,ISBst12,Natrinema pellirubrum,44,1.4
ISNamo22,IS200/IS605,IS1341,Natronomonas moolapensis,42,5.6
ISNamo24,IS200/IS605,IS1341,Natronomonas moolapensis,42,5.6
ISNph26,IS200/IS605,IS1341,Natronomonas pharaonis,44,1.4
ISNph12,IS200/IS605,IS1341,Natronomonas pharaonis,42,5.6
ISNha3,IS1380,,Nitrobacter hamburgensis,42,5.6
ISNisp3,IS3,IS407,Nitrobacter sp.,42,5.6
ISNmo4,IS5,IS5,Nitrococcus mobilis,44,1.4
IS204,ISL3,-,Nocardia asteroides,48,0.091
ISNosp1,IS1380,,Nocardioides sp.,44,1.4
ISOgr2,IS3,IS2,Oceanicola granulosus,42,5.6
ISPaen1,IS1380,,Paenibacillus sp.,42,5.6
ISPaes2,IS5,IS427,Paracoccus aestuarii,42,5.6
ISUnCu4,IS30,,Plasmid QKH54,58,9.00E-05
ISPna3,IS5,IS5,Polaromonas naphthalenivorans,50,0.023
ISPfr3,ISL3,,Propionibacterium freudenreichii,115,5.00E-22
ISPfr6,ISL3,,Propionibacterium freudenreichii,105,5.00E-19
ISPfr9,IS30,,Propionibacterium freudenreichii,100,3.00E-17
ISPfr16,IS30,,Propionibacterium freudenreichii,90,3.00E-14
ISPfr8,ISL3,,Propionibacterium freudenreichii,90,3.00E-14
ISPfr4,ISL3,,Propionibacterium freudenreichii,84,2.00E-12
ISPfr2,ISL3,,Propionibacterium freudenreichii,80,3.00E-11
ISPfr14,IS30,,Propionibacterium freudenreichii,76,4.00E-10
ISPfr1,ISL3,,Propionibacterium freudenreichii,56,4.00E-04
ISPfr18,ISL3,,Propionibacterium freudenreichii,48,0.091
ISPfr10,IS3,IS407,Propionibacterium freudenreichii,46,0.36
ISPfr7,ISL3,,Propionibacterium freudenreichii,42,5.6
ISPa43,Tn3,,Pseudomonas aeruginosa,44,1.4
ISPa40,Tn3,,Pseudomonas aeruginosa,42,5.6
ISPa42,Tn3,,Pseudomonas aeruginosa,42,5.6
IS1491,IS21,-,Pseudomonas alcaligenes,141,8.00E-30
IS1394,IS30,-,Pseudomonas alcaligenes,80,3.00E-11
ISPfl2,IS30,-,Pseudomonas fluorescens,62,6.00E-06
IS1162,IS21,-,Pseudomonas fluorescens,44,1.4
